Tipe,Nama,Kuantitas/Panjang,Satuan,Latitude,Longitude
POP / Server OLT,Waru,1,pcs,-7.3526914,112.729267
ODC,ODC 01,1,pcs,-7.353269399456052,112.72901395458938
Join Closure,JOIN CLOSURE ODC 01,1,pcs,-7.353269399456052,112.72901395458938
ODP,01/01,1,pcs,-7.353269399456052,112.72901395458938
Kabel Distribusi,ODC 01 -> 01/01,0.0,m,,
