Tipe,Nama,Kuantitas/Panjang,Satuan,Latitude,Longitude
POP / Server OLT,Waru,1,pcs,-7.3526914,112.729267
ODC,ODC 01,1,pcs,-7.353514123214292,112.7284615542855
Join Closure,JOIN CLOSURE ODC 01,1,pcs,-7.353514123214292,112.7284615542855
ODP,01/01,1,pcs,-7.353648812905523,112.72818182160611
Kabel Distribusi,ODC 01 -> 01/01,41.15,m,,
