Tipe,Nama,Kuantitas/Panjang,Satuan,Latitude,Longitude
POP / Server OLT,Waru,1,pcs,-7.3526914,112.729267
ODC,ODC 01,1,pcs,-7.353734516116963,112.7288578983361
Join Closure,JOIN CLOSURE ODC 01,1,pcs,-7.353734516116963,112.7288578983361
ODP,01/01,1,pcs,-7.353732839092513,112.72880476193127
Kabel Distribusi,ODC 01 -> 01/01,7.04,m,,
